row	fixture	mechanism	harness	vector-class	instantiation	expected-stage	expected-token	planted	outcome	altitude
H3	light	bundle	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit	merge commit(s) in B..S: c9392831b34111a12931afa68e9e7a7d08ecf4b3	pass	model-level
H3	heavy	fetch	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit	merge commit(s) in B..S: d51a4f988d9def63f4fabc8364f381522bc390fe	pass	model-level
H3	heavy	bundle	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit	merge commit(s) in B..S: 5266f8d1c97e5ecc710745d4ff247406f3810164	pass	model-level
H4	light	fetch	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path	docs/h4-undeclared.md	pass	model-level
H4	light	bundle	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path	docs/h4-undeclared.md	pass	model-level
H4	heavy	fetch	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path	docs/h4-undeclared.md	pass	model-level
H4	heavy	bundle	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path	docs/h4-undeclared.md	pass	model-level
H5	light	fetch	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path	.doctrine/rfc/025/evidence/h5-plain.md .doctrine/rfc/025/evidence/h5-naïve.md .doctrine/project-orientation.md src/h5-renamed.md	pass	model-level
H5	light	bundle	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path	.doctrine/rfc/025/evidence/h5-plain.md .doctrine/rfc/025/evidence/h5-naïve.md .doctrine/project-orientation.md src/h5-renamed.md	pass	model-level
H5	heavy	fetch	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path	.doctrine/rfc/025/evidence/h5-plain.md .doctrine/rfc/025/evidence/h5-naïve.md	pass	model-level
H5	heavy	bundle	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path	.doctrine/rfc/025/evidence/h5-plain.md .doctrine/rfc/025/evidence/h5-naïve.md	pass	model-level
p-c3: 2026-08-02T06:35:35Z	in-jail	legs=both	rows=H6 H9 H12 H15
H6	light	fetch	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution		core.hooksPath set and 8 hooks live — reference-transaction OBSERVED firing in the capsule	pass	model-level
H6	light	bundle	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution		core.hooksPath set and 8 hooks live — reference-transaction OBSERVED firing in the capsule	pass	model-level
H6	heavy	fetch	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution		core.hooksPath set and 8 hooks live — reference-transaction OBSERVED firing in the capsule	pass	model-level
H6	heavy	bundle	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution		core.hooksPath set and 8 hooks live — reference-transaction OBSERVED firing in the capsule	pass	model-level
H9	light	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution		src/.gitattributes src/h9-payload.txt src/h9-escape-abs src/h9-escape-rel	pass	model-level
H9	light	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	verify		src/.gitattributes src/h9-payload.txt src/h9-escape-abs src/h9-escape-rel	pass	model-level
H9	light	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution		src/.gitattributes src/h9-payload.txt src/h9-escape-abs src/h9-escape-rel	pass	model-level
H9	light	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	verify		src/.gitattributes src/h9-payload.txt src/h9-escape-abs src/h9-escape-rel	pass	model-level
H9	heavy	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution		scripts/spike-capsule/.gitattributes scripts/spike-capsule/h9-payload.txt scripts/spike-capsule/h9-escape-abs scripts/spike-capsule/h9-escape-rel	pass	model-level
H9	heavy	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	verify		scripts/spike-capsule/.gitattributes scripts/spike-capsule/h9-payload.txt scripts/spike-capsule/h9-escape-abs scripts/spike-capsule/h9-escape-rel	pass	model-level
H9	heavy	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution		scripts/spike-capsule/.gitattributes scripts/spike-capsule/h9-payload.txt scripts/spike-capsule/h9-escape-abs scripts/spike-capsule/h9-escape-rel	pass	model-level
H9	heavy	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	verify		scripts/spike-capsule/.gitattributes scripts/spike-capsule/h9-payload.txt scripts/spike-capsule/h9-escape-abs scripts/spike-capsule/h9-escape-rel	pass	model-level
H12	light	fetch	pipeline	2/3	n/a — the light fixture has no .envrc and no flake.nix, so there is nothing to plant (F-7). A STRUCTURAL absence, and it caps H12 at unproven-beyond-rust (A-3)	dissolution		n/a	n/a	unproven-beyond-rust
H12	light	bundle	pipeline	2/3	n/a — the light fixture has no .envrc and no flake.nix, so there is nothing to plant (F-7). A STRUCTURAL absence, and it caps H12 at unproven-beyond-rust (A-3)	dissolution		n/a	n/a	unproven-beyond-rust
H12	heavy	fetch	pipeline	2/3	modify .envrc and flake.nix against B; audit-dq4 proves no trusted-side eval step exists — an audit row, not a pipeline row; planted under the slice design-target directory (D-P05-11) — the ROOT pair is unreachable: flake.nix is undeclared under SL-241 selectors and /.envrc is gitignored (F-P05-26)	dissolution		scripts/spike-capsule/.envrc scripts/spike-capsule/flake.nix	pass	unproven-beyond-rust
H12	heavy	bundle	pipeline	2/3	modify .envrc and flake.nix against B; audit-dq4 proves no trusted-side eval step exists — an audit row, not a pipeline row; planted under the slice design-target directory (D-P05-11) — the ROOT pair is unreachable: flake.nix is undeclared under SL-241 selectors and /.envrc is gitignored (F-P05-26)	dissolution		scripts/spike-capsule/.envrc scripts/spike-capsule/flake.nix	pass	unproven-beyond-rust
H15	light	fetch	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution		killed mid-run at three distinct points: harvest=killed conform=killed verify=killed 	pass	model-level
H15	light	bundle	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution		killed mid-run at three distinct points: harvest=killed conform=killed verify=killed 	pass	model-level
H15	heavy	fetch	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution		killed mid-run at three distinct points: harvest=killed conform=killed verify=killed 	pass	model-level
H15	heavy	bundle	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution		killed mid-run at three distinct points: harvest=killed conform=killed verify=killed 	pass	model-level
p-c3: 2026-08-02T10:13:58Z	in-jail	legs=both	rows=H13
H13	light	fetch	pipeline	4/5	n/a — M-A reads NO capsule-authored artifact at all, so the row has no subject. A structural asymmetry, and itself a QUE-200 verdict input (F-6)	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap	n/a	n/a	model-level
H13	light	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-unsafe-path	a symlink at the harvest path → /nonexistent/target (an honest 11370-byte bundle stood here)	pass	model-level
H13	light	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-absent	the bundle is GONE at ring time (an honest 11370-byte bundle stood here)	pass	model-level
H13	light	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-invalid	truncated to 4 bytes from 11370 — git bundle verify rejects it	pass	model-level
H13	light	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	resource-cap	an HONEST 11370-byte bundle against a 64-byte cap — the threshold bites, not a forgery	pass	model-level
H13	heavy	fetch	pipeline	4/5	n/a — M-A reads NO capsule-authored artifact at all, so the row has no subject. A structural asymmetry, and itself a QUE-200 verdict input (F-6)	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap	n/a	n/a	model-level
H13	heavy	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-unsafe-path	a symlink at the harvest path → /nonexistent/target (an honest 27932164-byte bundle stood here)	pass	model-level
H13	heavy	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-absent	the bundle is GONE at ring time (an honest 27934649-byte bundle stood here)	pass	model-level
H13	heavy	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-invalid	truncated to 4 bytes from 27933154 — git bundle verify rejects it	pass	model-level
H13	heavy	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	resource-cap	an HONEST 27935657-byte bundle against a 64-byte cap — the threshold bites, not a forgery	pass	model-level
p-c3: 2026-08-02T11:19:28Z	in-jail	legs=both	rows=H14
H14	light	fetch	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest		rang 034c234b7022b8364fff63f0f76527c0571b3fc6, re-rung verbatim (2 rings, 1 distinct, ref unmoved), lost (timeout after 2s of polling), then forged as somebody-elses-capsule/deadbeefdeadbeefdeadbeefdeadbeefdeadbeef	pass	model-level
H14	light	bundle	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest		rang 6e5557c994a176b2213edaf13264272b7c09528e, re-rung verbatim (2 rings, 1 distinct, ref unmoved), lost (timeout after 2s of polling), then forged as somebody-elses-capsule/deadbeefdeadbeefdeadbeefdeadbeefdeadbeef	pass	model-level
H14	heavy	fetch	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest		rang b28be2d5343924e3b6221d6b27265dc81995ae27, re-rung verbatim (2 rings, 1 distinct, ref unmoved), lost (timeout after 2s of polling), then forged as somebody-elses-capsule/deadbeefdeadbeefdeadbeefdeadbeefdeadbeef	pass	model-level
H14	heavy	bundle	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest		rang 28b5dc2e6c8d471739b6d24019093e5cdc528acb, re-rung verbatim (2 rings, 1 distinct, ref unmoved), lost (timeout after 2s of polling), then forged as somebody-elses-capsule/deadbeefdeadbeefdeadbeefdeadbeefdeadbeef	pass	model-level
p-c3: 2026-08-02T11:27:56Z	in-jail	legs=both	rows=H8
H8	light	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink	a 160000 gitlink at the DECLARED path src/h8-gitlink, naming 7f43b8751234cc45a0b2fdee32a40538ca6a6a4b	pass	model-level
H8	light	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitmodules	a regular-file .gitmodules at the DECLARED path src/.gitmodules	pass	model-level
H8	light	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink	a 160000 gitlink at the DECLARED path src/h8-gitlink, naming 7f43b8751234cc45a0b2fdee32a40538ca6a6a4b	pass	model-level
H8	light	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitmodules	a regular-file .gitmodules at the DECLARED path src/.gitmodules	pass	model-level
H8	heavy	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink	a 160000 gitlink at the DECLARED path scripts/spike-capsule/h8-gitlink, naming 4fc9d32f008c96b3f181f8dc0a1f163c02f59b9a	pass	model-level
H8	heavy	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitmodules	a regular-file .gitmodules at the DECLARED path scripts/spike-capsule/.gitmodules	pass	model-level
H8	heavy	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink	a 160000 gitlink at the DECLARED path scripts/spike-capsule/h8-gitlink, naming 4fc9d32f008c96b3f181f8dc0a1f163c02f59b9a	pass	model-level
H8	heavy	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitmodules	a regular-file .gitmodules at the DECLARED path scripts/spike-capsule/.gitmodules	pass	model-level
p-c3: 2026-08-02T14:50:13Z	in-jail	legs=both	rows=H11
H11	light	fetch	pipeline	1	a hostile TEST FILE at a declared path, executed by the fixture's own `node --test src/*.test.ts`; observable is sentinel-absent on the HOST path (inside, /tmp is a tmpfs - F-P04-12), never absence of error output. The network half is MEASURED and NOT SCORED: the verify capsule shares the network namespace by construction (F-P05-32, D-P05-14)	verify		an executable payload at src/h11-payload.test.ts, which "npm test" runs; canary armed and quiet on :45711	pass	model-level
H11	light	bundle	pipeline	1	a hostile TEST FILE at a declared path, executed by the fixture's own `node --test src/*.test.ts`; observable is sentinel-absent on the HOST path (inside, /tmp is a tmpfs - F-P04-12), never absence of error output. The network half is MEASURED and NOT SCORED: the verify capsule shares the network namespace by construction (F-P05-32, D-P05-14)	verify		an executable payload at src/h11-payload.test.ts, which "npm test" runs; canary armed and quiet on :45711	pass	model-level
H11	heavy	fetch	pipeline	2	a hostile build.rs at the repo ROOT - the class-2 trigger `cargo test` really runs - which SL-241 does not declare; refused at conform BEFORE the sandbox is needed. The trigger is live and the selector gate is what stops it (F-P05-33, D-P05-15)	conform	undeclared-path	a hostile build.rs at the cargo package root, which "just web-build && cargo test" runs; undeclared by the fixture slice	pass	model-level
H11	heavy	bundle	pipeline	2	a hostile build.rs at the repo ROOT - the class-2 trigger `cargo test` really runs - which SL-241 does not declare; refused at conform BEFORE the sandbox is needed. The trigger is live and the selector gate is what stops it (F-P05-33, D-P05-15)	conform	undeclared-path	a hostile build.rs at the cargo package root, which "just web-build && cargo test" runs; undeclared by the fixture slice	pass	model-level
p-c3: 2026-08-02T16:04:29Z	in-jail	legs=pipeline	rows=H10 H16
H10	light	fetch	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base	peer be09690 landed on the accepted ref from the same base 7f43b87, conflicting with this result on src/capsule-stub.ts	pass	model-level
H10	light	bundle	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base	peer 5d0c253 landed on the accepted ref from the same base 7f43b87, conflicting with this result on src/capsule-stub.ts	pass	model-level
H10	heavy	fetch	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base	peer ea5ebae97 landed on the accepted ref from the same base 4fc9d32f0, conflicting with this result on scripts/spike-capsule/capsule-stub.txt	pass	model-level
H10	heavy	bundle	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base	peer 61e23c6b2 landed on the accepted ref from the same base 4fc9d32f0, conflicting with this result on scripts/spike-capsule/capsule-stub.txt	pass	model-level
H16	light	fetch	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base	the trunk advanced to 7e5e7cc on docs/h16-trunk-moved.md, disjoint from this result (src/capsule-stub.ts) — a three-way merge would take the pair	pass	model-level
H16	light	bundle	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base	the trunk advanced to 7e5e7cc on docs/h16-trunk-moved.md, disjoint from this result (src/capsule-stub.ts) — a three-way merge would take the pair	pass	model-level
H16	heavy	fetch	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base	the trunk advanced to 7a388888a on docs/h16-trunk-moved.md, disjoint from this result (scripts/spike-capsule/capsule-stub.txt) — a three-way merge would take the pair	pass	model-level
H16	heavy	bundle	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base	the trunk advanced to 962982339 on docs/h16-trunk-moved.md, disjoint from this result (scripts/spike-capsule/capsule-stub.txt) — a three-way merge would take the pair	pass	model-level
p-c3: 2026-08-02T23:07:31Z	in-jail	legs=both	rows=H7
H7	light	fetch	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap	the oversize is present and ZERO-LENGTH against a 536870912B bound, beside a 201-deep tree, and the capsule measures 1536000B CUMULATIVELY — the per-file leg fired, du had nothing to say	pass	model-level
H7	light	bundle	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap	the oversize is present and ZERO-LENGTH against a 536870912B bound, beside a 201-deep tree, and the capsule measures 1536000B CUMULATIVELY — the per-file leg fired, du had nothing to say	pass	model-level
H7	heavy	fetch	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap	the oversize is present and ZERO-LENGTH against a 536870912B bound, beside a 201-deep tree, and the capsule measures 210808832B CUMULATIVELY — the per-file leg fired, du had nothing to say	pass	model-level
H7	heavy	bundle	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap	the oversize is present and ZERO-LENGTH against a 536870912B bound, beside a 201-deep tree, and the capsule measures 210804736B CUMULATIVELY — the per-file leg fired, du had nothing to say	pass	model-level
p-c3: 2026-08-02T23:39:47Z	in-jail	legs=conflict	rows=H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H13 H14 H15 H16
H10	light-plan	candidate	conflict	-	the incumbent's RESOLUTION leg (§ 5.1 D8) — F3 on the real candidate layer, refusing at candidate-create: the pair is classified Conflicted and parked for hand-resolution (ingest). The refusal to auto-resolve is LEDGERED, not status-borne — the verb exits ZERO (F-P05-40). Regression check on machinery being replaced; NOT capsule-model evidence, counts toward nothing (F-9)	candidate-create	conflicted	pair-meets src/capsule-stub.ts 018cbd1/14f0650	pass	counts-toward-nothing
H16	light-plan	candidate	conflict	-	the incumbent's RESOLUTION leg (§ 5.1 D8) — F3 on the real candidate layer, refusing at integrate: create and admit BOTH accept the moved trunk; the fast-forward CAS at integrate is the sole place staleness is caught, and it refuses non-zero, guiding to supersede on the new base. Regression check on machinery being replaced; NOT capsule-model evidence, counts toward nothing (F-9)	integrate	stale-trunk	trunk-moved f2b3885->22fdb32	pass	counts-toward-nothing
p-c3: 2026-08-03T00:15:06Z	in-jail	legs=conflict	rows=H10	MUTATED=m32-peer-not-from-b.sh
H10	light-plan	candidate	conflict	-	the incumbent's RESOLUTION leg (§ 5.1 D8) — F3 on the real candidate layer, refusing at candidate-create: the pair is classified Conflicted and parked for hand-resolution (ingest). The refusal to auto-resolve is LEDGERED, not status-borne — the verb exits ZERO (F-P05-40). Regression check on machinery being replaced; NOT capsule-model evidence, counts toward nothing (F-9)	candidate-create	conflicted	pair-meets src/capsule-stub.ts 018cbd1/14f0650	fail	counts-toward-nothing
p-c3: 2026-08-03T00:15:06Z	in-jail	legs=conflict	rows=H10	MUTATED=m33-halves-agree.sh
